,Bulgaria
Population (2020),6948445.0
Yearly Change,-0.74
Net Change,-51674.0
Density (P/Km²),64.0
Land Area (Km²),108560.0
Migrants (net),-4800.0
Fert. Rate,1.6
Med. Age,45.0
Urban Pop %,76.0
World Share,0.09
